RecipeID,TagID
534896,38
534896,79
534896,75
534896,20
534896,145
534897,80
534897,1
534897,3
534897,22
534897,4
534897,74
534897,90
534897,27
534897,75
534897,34
534897,99
534897,68
534897,100
534897,36
534877,0
534877,1
534877,3
534877,4
534877,29
534877,110
534877,48
534877,9
534877,42
534877,20
534868,0
534868,1
534868,2
534868,4
534868,66
534868,42
534864,0
534864,1
534864,2
534864,3
534864,4
534864,32
534864,44
534864,34
534864,83
534864,84
534864,67
534864,68
534864,36
534864,9
534864,42
534859,0
534859,1
534859,2
534859,4
534859,109
534859,189
534859,66
534859,34
534859,67
534859,68
534859,36
534855,140
534855,1
534855,2
534855,4
534855,10
534855,44
534855,42
534855,178
534855,21
534802,1
534802,4
534802,34
534802,21
534786,0
534786,1
534786,2
534786,3
534786,4
534786,44
534786,6
534786,69
534786,7
534786,34
534786,83
534786,84
534786,67
534786,68
534786,85
534786,36
534786,9
534784,28
534784,1
534784,2
534784,4
534784,44
534760,80
534760,1
